"","screenName","text","retweet_count","favorite_count","score","absolute_score","lon","lat"
"319","gregoryc7040","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/QGofBcMHiy",0,0,1,1,-112.0740373,33.4483771
"320","gregveltman","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/eCS7M7kjpa",0,0,1,1,-114.0708459,51.0486151
"321","grumpydannyboy","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/6T30pLUhI1",0,0,1,1,-81.5157535,27.6648274
"322","grumpydannyboy","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/ZtkexnTmhW",0,0,1,1,-81.5157535,27.6648274
"323","gsthomas13","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/aLCVK3nHZA",0,0,1,1,-118.1937395,33.7700504
"324","gsunshiine","We are given two hands, one for helping ourselves and one for helping others. #GiveGood #StarbucksforLife #starbucks",0,0,2,2,-111.0937311,34.0489281
"325","gtowncandlelady","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/EjgZTxHdyU",0,0,1,1,-70.6619888,42.6159285
"329","HalREnterprise","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/LmacuFvyxS",0,0,1,1,-81.3792365,28.5383355
"331","HarleyKid21","RT @twingemini4u: Retweet for a chance to win a free goody goody goodyÌ†ºÌΩ≠‚òïÌ†ºÌΩ≠ #StarbucksforLife 
#givegood",572,0,0,0,-95.988653,36.152231
"333","hayesstaci","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/PZL84O9U77",0,0,1,1,-120.6596156,35.2827524
"337","hellodiscoqueen","#GiveGood is a great message this holiday season. #StarbucksforLife",0,0,1,1,-84.4399406,39.0217283
"338","hetheralford","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/wwGBEpwwn8",0,1,1,1,-95.3698028,29.7604267
"340","heyzochi","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/BpQzkySkv2",0,0,1,1,-118.4042014,34.0403397
"347","HollowOutsider","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/YXPAHhJy2j",0,0,1,1,-87.6297982,41.8781136
"348","Holly4UA","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/otoqeAZAdq",0,0,1,1,-99.9018131,41.4925374
"349","hollydlemon","Add to your collection &amp; fill up your game board for a chance to win prizes - including Starbucks for Life.‚Ä¶ https://t.co/O45JC73V4r",0,0,1,1,-81.5157535,27.6648274
