"","screenName","text","retweet_count","favorite_count","score","absolute_score","lon","lat"
"308","FrustratedinNO","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-77.1945247,41.2033216
"315","geminicutie01","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-74.2088056,40.7825346
"330","GIZMOCIVIC","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-115.1398296,36.1699412
"333","Glynnskee","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-119.7680951,39.4995907
"345","Halifaxidocious","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-70.861985,41.991213
"356","hatgirl27","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-116.278007,34.210934
"363","hifionthedownlo","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-90.1994042,38.6270025
"373","ianpaulroche68","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-83.985,42.43472
"387","ItsOnly1Deprina","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-74.0059728,40.7127753
"389","itssoeasy2me","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-84.2424449,40.1447732
"397","Janeopot","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-90.3070485,38.633222
"398","janicour","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-96.8743275,49.7396213
"401","jazzyphizz","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-66.063308,45.2733153
"404","JCAtkinson77","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-90.3070485,38.633222
"406","jen246","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-82.9000751,32.1656221
"411","JennyMorrill","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-89.5181476,37.3058839
"412","jenoah8211","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-82.2106876,36.3487196
"415","jessicac87","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-123.1207375,49.2827291
"429","JoniLoveVWBugs","@davelackie AWESOME������������ #StarbucksAtHome������������������������",0,0,0,0,-81.1637245,33.836081
"430","JoniLoveVWBugs","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-81.1637245,33.836081
"435","jovansjourney","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-81.4625919,30.6696818
"447","KarenKryzanowsk","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-78.649163,41.9564953
"448","karenmarievee","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-79.3831843,43.653226
"454","Katelynash","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-85.6023643,44.3148443
"456","katgratton","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-122.3044697,49.0504377
"459","katiewoo26","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-71.3672838,42.5998139
"466","kellykelephant","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-80.0057921,42.8027964
"469","KerryDeAngelis1","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-74.3118212,39.9652553
"480","KissesForUsAll","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-82.907123,40.4172871
"486","kreitlo","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-101.8762147,54.7657685
"487","kristalwize","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-119.4179324,36.778261
"488","KristenKler","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-77.009474,40.212839
"490","KristiW30612467","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-105.7820674,39.5500507
"492","krnhppr","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-75.6971931,45.4215296
"495","kthomasxx","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-75.8179764,40.4539828
"498","kygurl62689","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-84.2700179,37.8393332
"500","LadyGDuran","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-89.3985283,40.6331249
"504","lastnitewriting","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-84.065693,33.822663
"507","lauramccoy1983","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-104.8973855,39.7194479
"511","LAYA_0A","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-79.3831843,43.653226
"512","LeafGal79","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-75.8986835,45.3088185
"514","LEAHinCANADA","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-113.4909267,53.544389
"527","lilytoon8","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-95.712891,37.09024
"535","lisa_jackson13","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-81.981931,34.994356
"539","Littlem129","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-71.4774291,41.5800945
"540","livinglively93","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-79.3831843,43.653226
"546","lobsterluvin","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-81.5157535,27.6648274
"550","lorinmario","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-81.5157535,27.6648274
"557","LoveVsl","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-113.4909267,53.544389
"569","lvrnotafighter","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-120.7401385,47.7510741
"575","MaggieNikkel","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-98.4936282,29.4241219
"576","mahone_zone","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-79.418299,43.6346141
"578","makeupTun","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-76.6412712,39.0457549
"581","mamacouto1","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-85.323214,51.253775
"585","MapleKEA","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-85.323214,51.253775
"589","marisakmilkyway","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-93.2009998,44.9374831
"592","Marshall_CLE","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",1546,0,2,2,-81.6943605,41.49932
