"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"57","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 04:39:59,FALSE,NA,"942253015108603904",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","emailcpaine",3700,TRUE,FALSE,NA,NA
"58","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 04:39:57,FALSE,NA,"942253006065717248",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hawaii2va",3700,TRUE,FALSE,NA,NA
"59","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 04:38:02,FALSE,NA,"942252521652973568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","beej789",3700,TRUE,FALSE,NA,NA
"60","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 04:35:03,FALSE,NA,"942251772822687744",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","girlydays",3700,TRUE,FALSE,NA,NA
"61","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 04:31:20,FALSE,NA,"942250837518307329",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","nudderose",3700,TRUE,FALSE,NA,NA
"62","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 04:30:34,FALSE,NA,"942250644819398656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CountryRoads35",3700,TRUE,FALSE,NA,NA
"63","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 04:30:08,FALSE,NA,"942250535926812673",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","almcaron",3700,TRUE,FALSE,NA,NA
"64","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 04:29:28,FALSE,NA,"942250369073152000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LindsayHess07",3700,TRUE,FALSE,NA,NA
"65","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 04:28:37,FALSE,NA,"942250154282844160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vinslave",3700,TRUE,FALSE,NA,NA
"66","RT @davelackie: NEW Twitter Giveaway: Add some fun &amp; whimsy to your morning with this #StarbucksAtHome + Viva La Juicy Glace set! Win it! T…",FALSE,0,NA,2017-12-17 04:28:24,FALSE,NA,"942250099895398400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LisaJLKHansen",3700,TRUE,FALSE,NA,NA
