"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"369","RT @MrsMHay: Dropped off another round of @Starbucks #GiveGood sleeves with kindness sayings.. this time @flohillelem got a BOX of sleeves‚Ä¶",FALSE,0,NA,2017-12-16 23:16:45,FALSE,NA,"942171671007391744",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","wntlt",3,TRUE,FALSE,NA,NA
"370","RT @thunderTash: @Starbucks thanks for the free gift card! Made our day!! #givegood https://t.co/M1XcUkIFHZ",FALSE,0,NA,2017-12-16 23:15:29,FALSE,NA,"942171350977966082",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kmiranda39",22,TRUE,FALSE,NA,NA
"371","RT @DailyNickJonas: Ì†ΩÌ≥∏: Nick today performing at Starbucks #GiveGood https://t.co/9oXWqalFfU",FALSE,0,NA,2017-12-16 23:15:15,FALSE,NA,"942171291229995009",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Cloudyjo7",7,TRUE,FALSE,NA,NA
"372","RT @CarieShipman: #GiveGood retweet for a chance to win Starbucks for life.",FALSE,0,NA,2017-12-16 23:12:40,FALSE,NA,"942170640701952000",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cole_amanda",1359,TRUE,FALSE,NA,NA
"373","RT @DailyNickJonas: Ì†ΩÌ≥∏: Nick today performing at Starbucks #GiveGood https://t.co/9oXWqalFfU",FALSE,0,NA,2017-12-16 23:12:17,FALSE,NA,"942170545021489152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NickNemiDemi",7,TRUE,FALSE,NA,NA
"374","RT @DailyNickJonas: Ì†ΩÌ≥π: Nick today at Starbucks #GiveGood https://t.co/ZaJocGUvhm",FALSE,0,NA,2017-12-16 23:12:14,FALSE,NA,"942170532740517888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NickNemiDemi",6,TRUE,FALSE,NA,NA
"375","RT @DailyNickJonas: Ì†ΩÌ≥π: Nick performing Home at Starbucks today #GiveGood #1 https://t.co/LlxoS9abJA",FALSE,0,NA,2017-12-16 23:11:53,FALSE,NA,"942170444513333248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NickNemiDemi",10,TRUE,FALSE,NA,NA
"376","RT @b_mo_88: Socks are the #1 most requested item from the homeless population.  Retweet and get the word out #givegood",FALSE,0,NA,2017-12-16 23:10:35,FALSE,NA,"942170116590112774",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","junodee2",671,TRUE,FALSE,NA,NA
"377","#GiveGood and consider helping the folks of PR and the USVI who still are recovering from the hurricanes. https://t.co/jxRmo4YvyT",FALSE,0,NA,2017-12-16 23:10:28,FALSE,NA,"942170086873411584",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","junodee2",0,FALSE,FALSE,NA,NA
"378","#givegood Starbucks has the most personalized, unique and beautiful assortment of Holiday gift cards! Ì†ºÌæÅ",FALSE,0,NA,2017-12-16 23:10:16,FALSE,NA,"942170037175103488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","findingadrian",0,FALSE,FALSE,NA,NA
